"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25836237","Volvo S40, 2010 NCT 01/21","https://www.donedeal.ie/cars-for-sale/volvo-s40-2010-nct-01-21/25836237","Volvo","S40","2010","140000 mi","Diesel","Manual","Saloon","5","1.6","200","Jan 2021","Ireland","Black","4","17","50 mins"
"25571366","Toyota Avensis, 2015 Finance available","https://www.donedeal.ie/cars-for-sale/toyota-avensis-2015-finance-available/25571366","Toyota","Avensis","2015","71000 mi","Diesel","Manual","Saloon","5","2.0","200","May 2021","Ireland","Silver","4","215","4 days"
"25020416","Citroen C4, 2012 NCT 04/21","https://www.donedeal.ie/cars-for-sale/citroen-c4-2012-nct-04-21/25020416","Citroen","C4","2012","140000 mi","Diesel","Manual","Hatchback","5","1.6","200","Apr 2021","Ireland","Grey","5","25","50 mins"
"23562024","BMW X5 2013 7 SEATER NEW NCT 03/2021","https://www.donedeal.ie/cars-for-sale/bmw-x5-2013-7-seater-new-nct-03-2021/23562024","BMW","X5","2013","138000 mi","Diesel","Automatic","SUV","","3.0","1,200","Mar 2021","Ireland","White","5","12","50 mins"
"25118799","Volkswagen Passat, 2008","https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2008/25118799","Volkswagen","Passat","2008","170000 mi","Diesel","Manual","Saloon","5","2.0","390","Aug 2021","Ireland","Blue","4","28","50 mins"
"25089065","Ford Mondeo, 2012","https://www.donedeal.ie/cars-for-sale/ford-mondeo-2012/25089065","Ford","Mondeo","2012","180000 mi","Diesel","Manual","Estate","","1.6","200","Mar 2022","Ireland","Brown","4","7","50 mins"
"25490655","Hyundai i30 1.6 Crdi 110PS SE","https://www.donedeal.ie/cars-for-sale/hyundai-i30-1-6-crdi-110ps-se/25490655","Hyundai","i30","2015","40573 mi","Diesel","Manual","Hatchback","","1.6","","Mar 2022","Ireland","Blue","5","78","2 days"
"25498716","Opel Insignia, 2016 NCT FEB/22","https://www.donedeal.ie/cars-for-sale/opel-insignia-2016-nct-feb-22/25498716","Opel","Insignia","2016","125000 mi","Diesel","Manual","Saloon","","1.6","180","Feb 2022","Ireland","Silver","4","4","51 mins"
"25791226","Audi A4, 2016 NCT 08/22","https://www.donedeal.ie/cars-for-sale/audi-a4-2016-nct-08-22/25791226","Audi","A4","2016","110000 mi","Diesel","Manual","Saloon","5","2.0","270","Aug 2022","UK","Black","4","10","50 mins"
"25844451","Renault Laguna 2011 1.5 dci","https://www.donedeal.ie/cars-for-sale/renault-laguna-2011-1-5-dci/25844451","Renault","Laguna","2011","145000 mi","Diesel","Manual","Hatchback","5","1.5","200","Sep 2021","Ireland","Black","5","11","51 mins"
"24991360","Chevrolet Aveo 2011 NCT MAY 2021","https://www.donedeal.ie/cars-for-sale/chevrolet-aveo-2011-nct-may-2021/24991360","Chevrolet","Aveo","2011","62000 mi","Petrol","Manual","Saloon","5","1.2","280","May 2021","Ireland","Silver","4","13","50 mins"
"24352717","Ford Galaxy, 2014 7 SEATER AUTO NEW NCT 04/22","https://www.donedeal.ie/cars-for-sale/ford-galaxy-2014-7-seater-auto-new-nct-04-22/24352717","Ford","Galaxy","2014","130000 mi","Diesel","Automatic","MPV","","2.0","390","Apr 2022","UK","Black","5","10","50 mins"
"25783670","Honda Accord, 2008 NCT 03/.21 ROAD TAX €390","https://www.donedeal.ie/cars-for-sale/honda-accord-2008-nct-03-21-road-tax-390/25783670","Honda","Accord","2008","150000 mi","Diesel","","Saloon","5","2.2","","Mar 2021","Ireland","Silver","4","13","50 mins"
"25592881","Vauxhall Insignia, 2011 NCT 06/21","https://www.donedeal.ie/cars-for-sale/vauxhall-insignia-2011-nct-06-21/25592881","Opel","Insignia","2011","130000 mi","Diesel","Manual","Hatchback","5","2.0","280","Jun 2021","Ireland","Black","5","10","51 mins"
"25459457","Opel Insignia, 2013 SRI NCT 11/21","https://www.donedeal.ie/cars-for-sale/opel-insignia-2013-sri-nct-11-21/25459457","Opel","Insignia","2013","170000 mi","Diesel","","Hatchback","5","2.0","270","Nov 2021","Ireland","White","","7","51 mins"
"25029247","Volkswagen Caddy, Maxi 2015 WHEELCHAIR CONVERTED","https://www.donedeal.ie/cars-for-sale/volkswagen-caddy-maxi-2015-wheelchair-converted/25029247","Volkswagen","Caddy Maxi","2015","160000 mi","Diesel","Manual","MPV","5","1.6","280","Jun 2022","Northern Ireland","Black","5","12","51 mins"
"25630275","2016 vauxhall corsa 1.3 cdti 3 door","https://www.donedeal.ie/cars-for-sale/2016-vauxhall-corsa-1-3-cdti-3-door/25630275","Vauxhall","Corsa","2016","100000 mi","Diesel","Manual","Hatchback","5","1.2","190","","UK","Green","3","4","51 mins"
"24892786","Peugeot 308 SW, 2017 NCT 04/21","https://www.donedeal.ie/cars-for-sale/peugeot-308-sw-2017-nct-04-21/24892786","Peugeot","308","2017","120000 mi","Diesel","Manual","Estate","5","1.6","180","Apr 2021","Ireland","Grey","4","8","50 mins"
"25629890","Volkswagen Golf R 300BHP, 2015 NCT 08/21","https://www.donedeal.ie/cars-for-sale/volkswagen-golf-r-300bhp-2015-nct-08-21/25629890","Volkswagen","Golf","2015","135000 mi","Petrol","Manual","Hatchback","","2.0","570","Aug 2021","Northern Ireland","Red","3","16","51 mins"
"25702858","Audi A3, 2013 NCT 06/21","https://www.donedeal.ie/cars-for-sale/audi-a3-2013-nct-06-21/25702858","Audi","A3","2013","220000 km","Diesel","","Hatchback","5","1.6","180","Jun 2021","Ireland","Black","","13","51 mins"
"25436104","2014 Nissan Qashqai 1.5 dci sv","https://www.donedeal.ie/cars-for-sale/2014-nissan-qashqai-1-5-dci-sv/25436104","Nissan","Qashqai","2014","91000 km","Diesel","Manual","Hatchback","5","1.5","180","May 2022","Ireland","Silver","5","11","52 mins"
"25431230","Volkswagen Touran, 2010 7 SEATER NCT 03/21","https://www.donedeal.ie/cars-for-sale/volkswagen-touran-2010-7-seater-nct-03-21/25431230","Volkswagen","Touran","2010","150000 mi","Diesel","Manual","MPV","7","1.9","390","Mar 2021","Ireland","Silver","5","6","52 mins"
