"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25893563","BMW 3 series saloon 1.6","https://www.donedeal.ie/cars-for-sale/bmw-3-series-saloon-1-6/25893563","BMW","3-Series","2007","145000 km","Petrol","Manual","Saloon","5","1.6","514","Jan 2020","Ireland","Black","4","51","46 mins"
"23497366","2014 Automatic Toyota Estmia 2.5 Mint Condition","https://www.donedeal.ie/cars-for-sale/2014-automatic-toyota-estmia-2-5-mint-condition/23497366","Toyota","Estima","2014","77000 km","Hybrid","Automatic","MPV","","2.5","180","Nov 2021","Ireland","Black","5","67","22 hours"
"25893534","2012 VW GOLF GTD","https://www.donedeal.ie/cars-for-sale/2012-vw-golf-gtd/25893534","Volkswagen","Golf","2012","106000 km","Diesel","Manual","Hatchback","5","2.0","","","Northern Ireland","Red","3","31","53 mins"
"24265035","Hyundai ix20 1.4 5DR","https://www.donedeal.ie/cars-for-sale/hyundai-ix20-1-4-5dr/24265035","Hyundai","ix20","2013","137001 km","Diesel","Manual","MPV","","1.4","200","Jan 2021","Ireland","Black","5","10","50 mins"
"25631146","Renault Clio V Dynamique TCe 100 My19","https://www.donedeal.ie/cars-for-sale/renault-clio-v-dynamique-tce-100-my19/25631146","Renault","Clio","2020","100 km","Petrol","Manual","Hatchback","","1.0","180","Jan 2024","Ireland","White","5","7","44 mins"
"23954724","Skoda Fabia Ambition 1.0mpi 60hp","https://www.donedeal.ie/cars-for-sale/skoda-fabia-ambition-1-0mpi-60hp/23954724","Skoda","Fabia","2020","1 km","Petrol","Manual","Hatchback","","1.0","","","Ireland","Black","4","8","49 mins"
"25635931","Ford C-Max Grand Titanium","https://www.donedeal.ie/cars-for-sale/ford-c-max-grand-titanium/25635931","Ford","Grand C-MAX","2011","163660 km","Diesel","","MPV","7","1.6","270","Oct 2021","Ireland","Blue","","171","4 days"
"25594490","Peugeot 508 Sw","https://www.donedeal.ie/cars-for-sale/peugeot-508-sw/25594490","Peugeot","508","2011","218040 km","Diesel","","Estate","5","1.6","270","Mar 2022","Ireland","Black","5","15","50 mins"
"25846959","Kia Ceed 1.4 Petrol 2012","https://www.donedeal.ie/cars-for-sale/kia-ceed-1-4-petrol-2012/25846959","Kia","Ceed","2012","83000 mi","Petrol","Manual","Hatchback","5","1.4","280","Sep 2022","Ireland","White","5","12","53 mins"
"25893542","Audi Q3 2.0tdi 150HP SE 4DR","https://www.donedeal.ie/cars-for-sale/audi-q3-2-0tdi-150hp-se-4dr/25893542","Audi","Q3","2015","71625 km","Diesel","Manual","SUV","","2.0","200","Jan 2022","Ireland","Black","4","10","52 mins"
"25893515","SEAT LEON 184bhp (GTD)","https://www.donedeal.ie/cars-for-sale/seat-leon-184bhp-gtd/25893515","SEAT","Leon","2015","","Diesel","Manual","Hatchback","5","2.0","","","Northern Ireland","Black","5","36","56 mins"
"25893522","Fiat Doblo 7 seater","https://www.donedeal.ie/cars-for-sale/fiat-doblo-7-seater/25893522","Fiat","Doblo","2015","161000 km","Diesel","Manual","MPV","7","1.6","280","Mar 2019","Ireland","Beige","4","21","55 mins"
"25843621","Toyota Yaris 1.3 2012 New NCT","https://www.donedeal.ie/cars-for-sale/toyota-yaris-1-3-2012-new-nct/25843621","Toyota","Yaris","2012","94000 mi","Petrol","Manual","Hatchback","5","1.3","","Sep 2022","Ireland","Black","5","10","53 mins"
