,Model,Make,Year,Views Per Day 7,Views Per Day,Views Per Day 1,Views Per Day 2,Views Per Day 3,Views Per Day 4,Views Per Day 5,Views Per Day 6,Views,Days Online
712,Golf,Volkswagen,2015.0,0.0,4717.1946271388715,4617.640455601513,3764.8162016084393,3803.721813453747,3484.0104883965987,0.0,0.0,54306.0,180.05312803898835
710,Golf,Volkswagen,2010.0,0.0,4885.429925524712,4447.259991979682,3672.815454171804,2969.201013842855,3040.828736614524,0.0,0.0,53775.0,186.33071680718948
714,Golf,Volkswagen,2013.0,0.0,4766.531750835548,3561.4506519525735,2952.5984989104995,3408.5641762171354,3376.0680631793934,0.0,0.0,48309.5,181.3639542319551
716,Golf,Volkswagen,2008.0,0.0,4123.308677767271,3796.860845709961,2961.9256903281766,3013.876046369184,2858.0033980659605,0.0,0.0,46847.125,185.11709389286733
724,Focus,Ford,2009.0,0.0,3885.7400312012487,3850.475220638153,2835.218767048554,2232.379892838153,3327.2981431253916,0.0,0.0,42465.75,179.51988187551223
720,5-Series,BMW,2011.0,0.0,4267.726111920473,3177.7763062171534,2370.589621817373,2546.4242986320423,2854.210583270209,0.0,0.0,40676.875,181.99280811268247
732,Golf,Volkswagen,2011.0,0.0,3493.5431465489255,3613.620008724735,2766.1772448084234,3225.126797769299,2842.507690314461,0.0,0.0,40556.125,175.8216994706268
730,3-Series,BMW,2013.0,0.0,3330.0588774041607,3502.7424163932537,2860.122973332152,2356.174334140436,3121.4270932011955,0.0,0.0,39919.625,178.3433256601615
728,Golf,Volkswagen,2016.0,0.0,4068.094986807387,3596.6382684638343,3081.866776782099,2876.909488543168,3099.225333871463,0.0,0.0,37987.5,166.2670415477209
722,Golf,Volkswagen,2014.0,0.0,4060.149346818373,3684.230623540985,2740.9734577724616,2581.880341880342,2946.0055183392146,0.0,0.0,37836.25,169.58621695180233
726,Focus,Ford,2015.0,0.0,3804.785505152288,3616.4971212552787,2791.4143613450265,2112.3447541366863,2243.345303584741,0.0,0.0,37124.875,176.61481395433938
718,3-Series,BMW,2012.0,0.0,3443.2089440316313,2899.771618003315,2158.638287386416,2170.6152734280895,1893.1729859444638,0.0,0.0,36517.5,187.80508343476706
748,5-Series,BMW,2008.0,0.0,2868.3037661050544,2740.8501133456734,2293.376957494407,2185.7320527429597,2294.107055843686,0.0,0.0,35286.5,186.41464085016688
738,Golf,Volkswagen,2012.0,0.0,2938.8602316602314,2990.0244453103824,2624.5512875647223,2456.257806337418,2294.505117440145,0.0,0.0,35277.75,179.1199685784123
744,3-Series,BMW,2007.0,0.0,2851.0932491334042,2415.962240277664,2221.823818859666,1641.4455864346403,1761.5354562178768,0.0,0.0,35270.125,202.27193581725794
